bank,speaker,date_au,doc_id,clipped_score,rolling_90d_score,rolling_30d_score,prior_60d_score,shift_30_vs_prior_60,shift_direction
RIKSBANK,Presentation,2025-06-01,DOC_629236ECF0E7,1.4,0.43076923076923074,0.43076923076923074,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_8079FFE6562D,0.0,0.3499999999999999,0.3499999999999999,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_8C8C004DC0D6,0.0,0.3818181818181818,0.3818181818181818,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_9589812DAB8B,0.0,0.41999999999999993,0.41999999999999993,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_AACFA7FA42C9,0.0,0.46666666666666656,0.46666666666666656,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_AC2E976F2D95,0.0,0.5249999999999999,0.5249999999999999,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_AE8849F82796,0.0,0.5999999999999999,0.5999999999999999,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_BD4CBBF5E041,2.8,0.6999999999999998,0.6999999999999998,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_BD6432FB223E,0.0,0.27999999999999997,0.27999999999999997,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_D0BC7185F679,0.0,0.35,0.35,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_DB89A9D36DCA,0.0,0.4666666666666666,0.4666666666666666,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_F2AF9B21A377,0.0,0.7,0.7,,,stable
RIKSBANK,Presentation,2025-06-01,DOC_F9B637540FB8,0.0,0.5437594048099819,0.5437594048099819,,,stable
RIKSBANK,Presentation,2026-06-01,DOC_68E02B2C9FBD,0.0,0.0,0.0,,,stable
RIKSBANK,Stefan Ingves,2021-06-01,DOC_00161C889653,0.0,0.0,0.0,,,stable
RIKSBANK,Stefan Ingves,2021-06-01,DOC_12366F513E13,0.0,0.0,0.0,,,stable
RIKSBANK,Stefan Ingves,2021-06-01,DOC_4A2AF27B2AB8,0.0,0.0,0.0,,,stable
RIKSBANK,Stefan Ingves,2021-06-01,DOC_7F391A770435,0.0,0.0,0.0,,,stable
RIKSBANK,Stefan Ingves,2022-06-01,DOC_14C9105649A8,0.0,0.0,0.0,,,stable
RIKSBANK,Stefan Ingves,2022-06-01,DOC_3D2F81307F3B,0.0,0.0,0.0,,,stable
RIKSBANK,Stefan Ingves,2022-06-01,DOC_84FA8FCB4997,0.0,0.0,0.0,,,stable
RIKSBANK,Stefan Ingves,2022-06-01,DOC_90199671B24B,0.0,0.0,0.0,,,stable
SNB,Andréa M. Maechler,2021-06-17,DOC_343321C63DC6,0.0,0.0,0.0,,,stable
SNB,Andréa M. Maechler,2021-12-16,DOC_F84F14D6B9D4,0.0,0.0,0.0,,,stable
