bank,date_au,daily_avg_score,rolling_30d_score,rolling_90d_score,rolling_180d_score,momentum_30_vs_90,momentum_classification,documents_count
FED,2022-04-05,0.1810524989903812,0.07431574969711441,-0.28304097250267185,0.2821052498990381,0.35735672219978626,stable,1
FED,2022-05-04,2.9000000000000004,1.5405262494951908,0.11695902749732817,0.1606648024987344,1.4235672219978626,hawkish acceleration,2
FED,2022-05-06,0.0,1.4500000000000002,0.10526312474759536,0.15263156237379769,1.344736875252405,hawkish acceleration,1
FED,2022-05-24,0.0,0.9666666666666668,0.11695902749732817,0.17956654396917376,0.8497076391693386,stable,1
FED,2022-05-25,0.0,0.7250000000000001,0.3635087498317302,0.16959062485977522,0.3614912501682699,stable,1
FED,2022-05-30,0.0,0.5800000000000001,0.3271578748485572,0.17956654396917376,0.2528421251514429,stable,1
FED,2022-06-03,0.0,0.0,0.29741624986232473,0.09721360279270318,-0.29741624986232473,stable,1
FED,2022-06-15,2.4000000000000004,0.4800000000000001,0.5164593180900346,0.17203945296724713,-0.036459318090034554,stable,2
FED,2022-06-17,0.0,0.4000000000000001,0.5164593180900346,0.16191948514564436,-0.11645931809003457,stable,1
FED,2022-06-18,0.0,0.3428571428571429,0.4734210415825318,0.15292395819310856,-0.13056389872538887,stable,1
FED,2022-06-23,0.0,0.3428571428571429,0.4982774999082165,0.1448753288145239,-0.1554203570510736,stable,1
FED,2022-07-08,0.0,0.4800000000000001,0.48181818181818187,0.1376315623737977,-0.0018181818181817744,stable,1
FED,2022-07-14,-0.1359400011538505,0.377343333141025,0.43033833323717924,0.12460434506295731,-0.052995000096154266,stable,1
FED,2022-07-19,0.0,-0.03398500028846262,0.397235384526627,0.11894051119645925,-0.4312203848150896,stable,1
FED,2022-07-27,-0.7094737505048094,-0.211353437914665,0.3181847320243815,0.11850988617351338,-0.5295381699390465,stable,2
FED,2022-08-06,0.0,-0.16908275033173198,0.11958355756471846,0.11335728242683887,-0.2886663078964504,stable,1
FED,2022-08-17,0.0,-0.17736843762620236,0.11104187488152428,0.11335728242683887,-0.28841031250772664,stable,2
FED,2022-08-26,0.0,0.0,0.11958355756471846,0.21937113621940513,-0.11958355756471846,stable,1
FED,2022-08-29,0.0,0.0,0.11958355756471846,0.2098332607316049,-0.11958355756471846,stable,1
FED,2022-09-07,-1.4,-0.35,0.011891249872410773,0.14275687486778804,-0.3618912498724107,stable,2
FED,2022-09-09,0.0,-0.27999999999999997,0.01104187488152429,0.13704659987307652,-0.2910418748815243,stable,1
FED,2022-09-21,2.2,0.16000000000000006,-0.004128522878060012,0.2470744885150783,0.16412852287806007,stable,2
FED,2022-09-28,0.0,0.20000000000000007,-0.003784479304888344,0.23633211944920535,0.2037844793048884,stable,2
FED,2022-09-30,1.711428751370197,0.5022857502740394,0.12815499997781052,0.29779447911257995,0.3741307502962289,stable,2
FED,2022-10-04,2.2,0.7852381252283663,0.2761439285508241,0.38191729165464744,0.5090941966775422,stable,1
FED,2022-10-06,0.20000000000000004,0.7016326787671711,0.2904296428365383,0.37464059998846155,0.41120303593063273,stable,2
FED,2022-10-10,-0.1999999999999997,1.0185714585616996,0.2577343333141025,0.3525390384504438,0.7608371252475972,stable,1
FED,2022-10-12,1.7000000000000002,1.1159183930528855,0.38013033339102587,0.4024449999893162,0.7357880596618597,stable,2
FED,2022-10-14,0.0,0.9764285939212748,0.35637218755408673,0.3880719642754121,0.6200564063671881,stable,1
FED,2022-10-20,0.0,0.8679365279300221,0.35637218755408673,0.37469017240384617,0.5115643403759353,stable,1
FED,2022-11-02,1.5000000000000002,0.7714285714285716,0.4944642969606373,0.33807196427541214,0.27696427446793426,stable,2
FED,2022-11-16,0.0,0.5000000000000001,0.5274285834246798,0.32641431033488066,-0.027428583424679687,stable,1
FED,2022-11-17,0.0,0.37500000000000006,0.4944642969606373,0.315533833323718,-0.11946429696063726,stable,2
FED,2022-11-28,0.0,0.37500000000000006,0.5274285834246798,0.33807196427541214,-0.15242858342467974,stable,1
FED,2022-11-30,1.1,0.5200000000000001,0.5632142969606373,0.3773576785611264,-0.043214296960637166,stable,2
FED,2022-12-01,1.4,0.6666666666666666,0.6124369853747175,0.4126212068866048,0.05422968129194916,stable,1
FED,2022-12-14,2.2,0.7833333333333333,0.8757142969606373,0.4202148214182692,-0.09238096362730397,stable,2
FED,2023-01-06,1.4,1.8,0.7583333333333333,0.5063851922965976,1.0416666666666667,hawkish acceleration,1
FED,2023-01-10,1.0,1.5333333333333332,0.7818181818181817,0.5500751923409765,0.7515151515151515,stable,2
FED,2023-01-19,-1.2,0.39999999999999997,0.74,0.5039213461871304,-0.34,stable,1
FED,2023-01-20,2.4,0.8999999999999999,0.890909090909091,0.5741464815135329,0.009090909090908927,stable,1
FED,2023-01-21,0.0,0.72,0.8166666666666668,0.5536412500309067,-0.09666666666666679,stable,1
FED,2023-02-01,2.1,0.9500000000000001,0.8666666666666667,0.6539795982632215,0.08333333333333337,stable,2
FED,2023-02-07,0.0,0.7166666666666668,0.8,0.6539795982632215,-0.08333333333333326,stable,1
FED,2023-02-08,0.0,0.6142857142857144,0.7428571428571429,0.6314285776334552,-0.12857142857142845,stable,1
FED,2023-02-10,0.0,0.4714285714285715,0.6933333333333334,0.6103809583790067,-0.22190476190476188,stable,1
FED,2023-02-13,0.0,0.41250000000000003,0.65,0.6103809583790067,-0.2375,stable,1
FED,2023-02-15,0.0,0.3666666666666667,0.6933333333333334,0.5906912500442,-0.32666666666666666,stable,1
FED,2023-02-16,0.0,0.33,0.65,0.5722321484803188,-0.32,stable,1
FED,2023-02-24,0.0,0.26250000000000007,0.611764705882353,0.5722321484803188,-0.3492647058823529,stable,1
FED,2023-02-27,0.0,0.2333333333333334,0.611764705882353,0.5722321484803188,-0.3784313725490196,stable,1
FED,2023-03-02,-1.4,0.07000000000000006,0.40624999999999994,0.5124675379203091,-0.3362499999999999,stable,1
FED,2023-03-03,0.0,-0.13999999999999996,0.38235294117647056,0.49739496327559407,-0.5223529411764705,stable,1
FED,2023-03-09,0.0,-0.13999999999999996,0.36111111111111105,0.5548917803445514,-0.5011111111111111,stable,1
FED,2023-03-14,0.0,-0.1555555555555555,0.23888888888888882,0.5385714338638293,-0.3944444444444443,stable,1
FED,2023-03-22,3.1905262494951905,0.2557894642135987,0.39423822365764155,0.5677045588489821,-0.13844875944404283,stable,2
FED,2023-03-27,0.0,0.2557894642135987,0.3745263124747595,0.5677045588489821,-0.11873684826116077,stable,1
FED,2023-03-29,0.0,0.2557894642135987,0.35669172616643763,0.5173684191027997,-0.10090226195283891,stable,1
FED,2023-03-31,-1.4094737505048092,0.04763156237379773,0.27641147722683546,0.4623157856854395,-0.22877991485303772,stable,2
